session_sk,session_start,session_end,n_events,duration_s
000201a5-a363-4fd2-9228-ab8148c528c1,2019-11-01 03:40:33+00:00,2019-11-01 03:40:33+00:00,1,0.0
00020305-cbad-48d4-8ead-d9bd2fae9678,2019-11-01 03:51:34+00:00,2019-11-01 03:52:00+00:00,2,26.0
0008f678-9531-4d1e-a22a-4b39d1b7e79c,2019-11-01 03:02:28+00:00,2019-11-01 03:02:28+00:00,1,0.0
00092ee4-0243-4bda-8ffd-5b905a086c7f,2019-11-01 01:57:48+00:00,2019-11-01 02:00:02+00:00,7,134.0
000af23c-7e34-4134-b8f1-dce83d875e01,2019-11-01 02:32:42+00:00,2019-11-01 02:32:42+00:00,1,0.0
000ed366-740e-4feb-b734-862d66f65e92,2019-11-01 02:51:32+00:00,2019-11-01 02:51:32+00:00,1,0.0
000f9ef6-a0d4-4106-87c1-c16debc61758,2019-11-01 03:26:21+00:00,2019-11-01 03:26:21+00:00,1,0.0
000fee39-b0f0-4b50-b747-1a33dc6404fa,2019-11-01 01:36:27+00:00,2019-11-01 01:36:27+00:00,1,0.0
0011e775-7199-4855-a294-1101aab87901,2019-11-01 02:18:20+00:00,2019-11-01 02:19:24+00:00,2,64.0
00145156-0e5d-49f3-b460-5d6e52e50bf1,2019-11-01 02:47:34+00:00,2019-11-01 02:47:34+00:00,1,0.0
00154239-0c89-4494-985b-04e8043e8062,2019-11-01 02:28:28+00:00,2019-11-01 02:28:28+00:00,1,0.0
0015e2a2-b56b-4ef7-a764-87bd8e751fb1,2019-11-01 06:31:05+00:00,2019-11-01 06:31:05+00:00,1,0.0
0019adfe-409a-4d59-bec2-63f9516d477e,2019-11-01 03:10:51+00:00,2019-11-01 03:19:41+00:00,3,530.0
001d2675-b89b-4309-ac93-97b8b2f4e430,2019-11-01 03:03:29+00:00,2019-11-01 03:14:57+00:00,14,688.0
001d5d58-3e32-43db-9374-ad9de090bfa5,2019-11-01 03:04:00+00:00,2019-11-01 03:04:40+00:00,2,40.0
001d9118-8e8d-45ab-88be-7b397210d9aa,2019-11-01 02:38:15+00:00,2019-11-01 02:38:25+00:00,2,10.0
001db8bd-7662-4642-87fa-19a496dfd8ed,2019-11-01 01:42:31+00:00,2019-11-01 01:43:48+00:00,2,77.0
001ed1c2-4a68-4f8c-8865-d0fa4635f2cb,2019-11-01 02:37:42+00:00,2019-11-01 02:37:42+00:00,1,0.0
0023616d-d730-4ad6-9929-b71ad0ac04ad,2019-11-01 01:58:43+00:00,2019-11-01 02:02:32+00:00,6,229.0
00236af9-be31-43d8-a60d-c6214e314b56,2019-11-01 01:00:16+00:00,2019-11-01 01:00:16+00:00,1,0.0
0025493f-1ccb-42bb-879d-9a1fabfc3f6d,2019-11-01 03:50:48+00:00,2019-11-01 03:51:19+00:00,2,31.0
00274f82-8337-4282-b03a-777376efc3b5,2019-11-01 00:33:03+00:00,2019-11-01 00:33:03+00:00,1,0.0
0028e8bc-7037-4592-ac3a-7132c1670a50,2019-11-01 02:31:32+00:00,2019-11-01 02:31:32+00:00,1,0.0
