product_sk,category_id,category_code,brand
15100145,2053013557024391671,unknown,lider
21409493,2053013561579406073,electronics.clocks,casio
27900037,2053013564741911467,unknown,unknown
5100764,2053013553341792533,electronics.clocks,canyon
13900120,2053013557343158789,construction.components.faucet,unknown
9800273,2053013554071601477,unknown,aerocool
16800286,2053013558316237377,furniture.kitchen.table,domini
5301587,2053013563173241677,unknown,polaris
6301343,2053013554834964853,appliances.kitchen.kettle,galaxy
3701135,2053013565983425517,appliances.environment.vacuum,xiaomi
13902221,2053013557343158789,construction.components.faucet,rubineta
12701967,2053013553559896355,unknown,cordiant
1004133,2053013555631882655,electronics.smartphone,xiaomi
37000004,2075210504652981138,unknown,unknown
1307188,2053013558920217191,computers.notebook,hp
12300396,2053013556311359947,construction.tools.drill,unknown
12300389,2053013556311359947,construction.tools.drill,unknown
28716498,2053013565782098913,apparel.shoes,respect
9300012,2053013554524586339,unknown,lg
2701305,2053013563911439225,appliances.kitchen.refrigerators,samsung
12714715,2053013553559896355,unknown,tunga
56300018,2166064855264526831,apparel.jumper,persona
1003726,2053013555631882655,electronics.smartphone,sony
14400016,2053013558492398155,unknown,hoco
26300078,2053013563584283495,unknown,lucente
26202715,2053013563693335403,unknown,unknown
16700741,2053013559901684381,furniture.kitchen.chair,unknown
1004249,2053013555631882655,electronics.smartphone,apple
1005156,2053013555631882655,electronics.smartphone,xiaomi
28719242,2053013565639492569,apparel.shoes,unknown
12703368,2053013553559896355,unknown,cordiant
1004767,2053013555631882655,electronics.smartphone,samsung
5300148,2053013563173241677,unknown,remington
4802159,2053013554658804075,electronics.audio.headphone,jbl
1005017,2053013555631882655,electronics.smartphone,huawei
3601586,2053013563810775923,appliances.kitchen.washer,candy
17900033,2053013560178508465,construction.tools.generator,huter
7004492,2053013560346280633,kids.carriage,belecoo
22500009,2053013552469377249,unknown,brateck
6400290,2053013554121933129,computers.components.cpu,intel
1306903,2053013558920217191,computers.notebook,msi
18300437,2053013558945383017,accessories.bag,xiaomi
3100267,2053013555262783879,appliances.kitchen.blender,vitek
26400966,2053013563651392361,unknown,unknown
